time,altitude_m,v_down_m_s
2025-12-19T17:56:44.460696,40.11,0.0
2025-12-19T17:56:44.511390,40.11,0.06
2025-12-19T17:56:44.562928,40.11,0.28
2025-12-19T17:56:44.613695,40.07,0.8
2025-12-19T17:56:44.664871,40.04,1.14
2025-12-19T17:56:44.716124,39.96,1.63
2025-12-19T17:56:44.767058,39.89,1.97
2025-12-19T17:56:44.818699,39.74,2.5
2025-12-19T17:56:44.869649,39.64,2.81
2025-12-19T17:56:44.921282,39.46,3.28
2025-12-19T17:56:44.972035,39.28,3.7
2025-12-19T17:56:45.023161,39.13,4.01
2025-12-19T17:56:45.074079,38.87,4.51
2025-12-19T17:56:45.125859,38.74,4.76
2025-12-19T17:56:45.177290,38.43,5.27
2025-12-19T17:56:45.228179,38.22,5.59
2025-12-19T17:56:45.280923,37.91,6.04
2025-12-19T17:56:45.331784,37.53,6.55
2025-12-19T17:56:45.382808,37.28,6.86
2025-12-19T17:56:45.433985,36.9,7.19
2025-12-19T17:56:45.484698,36.62,7.37
2025-12-19T17:56:45.535557,36.17,7.52
2025-12-19T17:56:45.587011,35.88,7.58
2025-12-19T17:56:45.638111,35.47,7.63
2025-12-19T17:56:45.690425,35.18,7.66
2025-12-19T17:56:45.741508,34.71,7.7
2025-12-19T17:56:45.792597,34.3,7.74
2025-12-19T17:56:45.843768,34.0,7.76
2025-12-19T17:56:45.895747,33.52,7.78
2025-12-19T17:56:45.947083,33.22,7.79
2025-12-19T17:56:45.998175,32.8,7.8
2025-12-19T17:56:46.049340,32.43,7.81
2025-12-19T17:56:46.101927,32.0,7.83
2025-12-19T17:56:46.153737,31.57,7.84
2025-12-19T17:56:46.206075,31.26,7.84
2025-12-19T17:56:46.257010,30.77,7.85
2025-12-19T17:56:46.308234,30.46,7.85
2025-12-19T17:56:46.359970,30.02,7.85
2025-12-19T17:56:46.411164,29.71,7.85
2025-12-19T17:56:46.462561,29.22,7.85
2025-12-19T17:56:46.514162,28.79,7.85
2025-12-19T17:56:46.566234,28.48,7.85
2025-12-19T17:56:46.617258,27.98,7.86
2025-12-19T17:56:46.668360,27.67,7.86
2025-12-19T17:56:46.720037,27.23,7.86
2025-12-19T17:56:46.771728,26.73,7.86
2025-12-19T17:56:46.823193,26.42,7.86
2025-12-19T17:56:46.874099,25.98,7.86
2025-12-19T17:56:46.926265,25.67,7.86
2025-12-19T17:56:46.977161,25.17,7.86
2025-12-19T17:56:47.028647,24.86,7.86
2025-12-19T17:56:47.080250,24.42,7.86
2025-12-19T17:56:47.131621,23.92,7.86
2025-12-19T17:56:47.182964,23.61,7.86
2025-12-19T17:56:47.233907,23.17,7.86
2025-12-19T17:56:47.286093,22.86,7.86
2025-12-19T17:56:47.337091,22.36,7.86
2025-12-19T17:56:47.388249,22.04,7.86
2025-12-19T17:56:47.439080,21.6,7.86
2025-12-19T17:56:47.491358,21.29,7.86
2025-12-19T17:56:47.543255,20.79,7.86
2025-12-19T17:56:47.594004,20.29,7.86
2025-12-19T17:56:47.646236,20.04,7.86
2025-12-19T17:56:47.697822,19.53,7.86
2025-12-19T17:56:47.748866,19.22,7.86
2025-12-19T17:56:47.799754,18.78,7.86
2025-12-19T17:56:47.851250,18.4,7.86
2025-12-19T17:56:47.903006,17.97,7.86
2025-12-19T17:56:47.953833,17.53,7.86
2025-12-19T17:56:48.005870,17.21,7.86
2025-12-19T17:56:48.056820,16.71,7.86
2025-12-19T17:56:48.108300,16.4,7.86
2025-12-19T17:56:48.159049,15.9,7.86
2025-12-19T17:56:48.210068,15.65,7.86
2025-12-19T17:56:48.261092,15.14,7.86
2025-12-19T17:56:48.312855,14.83,7.86
2025-12-19T17:56:48.364182,14.39,7.86
2025-12-19T17:56:48.415794,13.89,7.86
2025-12-19T17:56:48.466537,13.57,7.86
2025-12-19T17:56:48.517794,13.13,7.86
2025-12-19T17:56:48.568413,12.82,7.86
2025-12-19T17:56:48.620173,12.31,7.86
2025-12-19T17:56:48.672041,12.0,7.87
2025-12-19T17:56:48.723699,11.56,7.87
2025-12-19T17:56:48.775138,11.05,7.86
2025-12-19T17:56:48.827192,10.74,7.87
2025-12-19T17:56:48.878343,10.3,7.87
2025-12-19T17:56:48.929057,9.98,7.87
2025-12-19T17:56:48.980092,9.48,7.87
2025-12-19T17:56:49.031927,9.16,7.87
2025-12-19T17:56:49.083487,8.72,7.87
2025-12-19T17:56:49.134884,8.21,7.87
2025-12-19T17:56:49.186794,7.9,7.87
2025-12-19T17:56:49.237673,7.45,7.86
2025-12-19T17:56:49.288782,7.14,7.86
2025-12-19T17:56:49.339617,6.63,7.86
2025-12-19T17:56:49.391841,6.32,7.87
2025-12-19T17:56:49.443110,5.81,7.87
2025-12-19T17:56:49.494278,5.37,7.87
2025-12-19T17:56:49.544997,5.05,7.87
2025-12-19T17:56:49.596146,4.61,7.86
2025-12-19T17:56:49.647403,4.23,7.86
2025-12-19T17:56:49.698007,3.79,7.86
