timestamp,altitude_m,v_down_m_s
2025-12-19T16:59:42.642659,40.96,-0.02
2025-12-19T16:59:42.694230,40.96,-0.02
2025-12-19T16:59:42.745733,40.96,0.29
2025-12-19T16:59:42.796976,40.94,0.61
2025-12-19T16:59:42.848135,40.89,1.15
2025-12-19T16:59:42.899438,40.84,1.49
2025-12-19T16:59:42.950989,40.73,2.05
2025-12-19T16:59:43.002853,40.6,2.5
2025-12-19T16:59:43.054434,40.5,2.8
2025-12-19T16:59:43.106160,40.33,3.22
2025-12-19T16:59:43.157298,40.2,3.52
2025-12-19T16:59:43.209932,39.96,4.01
2025-12-19T16:59:43.260798,39.73,4.45
2025-12-19T16:59:43.311662,39.55,4.77
2025-12-19T16:59:43.362770,39.24,5.28
2025-12-19T16:59:43.414112,39.03,5.6
2025-12-19T16:59:43.465745,38.72,6.06
2025-12-19T16:59:43.516688,38.49,6.38
2025-12-19T16:59:43.568076,38.08,6.86
2025-12-19T16:59:43.619055,37.81,7.09
2025-12-19T16:59:43.669937,37.42,7.33
2025-12-19T16:59:43.721554,36.97,7.48
2025-12-19T16:59:43.774419,36.68,7.52
2025-12-19T16:59:43.826223,36.28,7.57
2025-12-19T16:59:43.877407,35.93,7.61
2025-12-19T16:59:43.929935,35.52,7.65
2025-12-19T16:59:43.980809,35.11,7.69
2025-12-19T16:59:44.032120,34.81,7.71
2025-12-19T16:59:44.082955,34.33,7.73
2025-12-19T16:59:44.133912,34.03,7.74
2025-12-19T16:59:44.184806,33.55,7.76
2025-12-19T16:59:44.235861,33.31,7.77
2025-12-19T16:59:44.286822,32.82,7.78
2025-12-19T16:59:44.338924,32.52,7.78
2025-12-19T16:59:44.389976,32.09,7.79
2025-12-19T16:59:44.441289,31.6,7.8
2025-12-19T16:59:44.492095,31.29,7.8
2025-12-19T16:59:44.543723,30.8,7.81
2025-12-19T16:59:44.595008,30.55,7.81
2025-12-19T16:59:44.645980,30.06,7.82
2025-12-19T16:59:44.697319,29.75,7.82
2025-12-19T16:59:44.748297,29.32,7.83
2025-12-19T16:59:44.799732,29.01,7.83
2025-12-19T16:59:44.850949,28.52,7.83
2025-12-19T16:59:44.902005,28.09,7.83
2025-12-19T16:59:44.953022,27.78,7.83
2025-12-19T16:59:45.004021,27.29,7.84
2025-12-19T16:59:45.055220,26.98,7.81
2025-12-19T16:59:45.105836,26.55,7.71
2025-12-19T16:59:45.156989,26.25,7.61
2025-12-19T16:59:45.208086,25.77,7.42
2025-12-19T16:59:45.259867,25.48,7.3
2025-12-19T16:59:45.310866,25.02,7.08
2025-12-19T16:59:45.361819,24.63,6.91
2025-12-19T16:59:45.412821,24.36,6.78
2025-12-19T16:59:45.464087,23.99,6.59
2025-12-19T16:59:45.514800,23.73,6.47
2025-12-19T16:59:45.565622,23.32,6.28
2025-12-19T16:59:45.616352,23.07,6.17
2025-12-19T16:59:45.667478,22.73,6.01
2025-12-19T16:59:45.719513,22.44,5.87
2025-12-19T16:59:45.771635,22.12,5.72
2025-12-19T16:59:45.823059,21.8,5.58
2025-12-19T16:59:45.875716,21.57,5.48
2025-12-19T16:59:45.926771,21.22,5.31
2025-12-19T16:59:45.977780,21.01,5.21
2025-12-19T16:59:46.028792,20.72,5.07
2025-12-19T16:59:46.080712,20.51,4.98
2025-12-19T16:59:46.132010,20.19,4.83
2025-12-19T16:59:46.182935,19.88,4.69
2025-12-19T16:59:46.235732,19.69,4.6
2025-12-19T16:59:46.286729,19.43,4.47
2025-12-19T16:59:46.338299,19.25,4.38
2025-12-19T16:59:46.389358,18.97,4.24
2025-12-19T16:59:46.440562,18.8,4.17
2025-12-19T16:59:46.491628,18.56,4.07
2025-12-19T16:59:46.543074,18.33,3.96
2025-12-19T16:59:46.595225,18.13,3.87
2025-12-19T16:59:46.646774,17.91,3.77
2025-12-19T16:59:46.698007,17.76,3.69
2025-12-19T16:59:46.749016,17.52,3.58
2025-12-19T16:59:46.800291,17.37,3.52
2025-12-19T16:59:46.851348,17.17,3.43
2025-12-19T16:59:46.902261,16.95,3.33
2025-12-19T16:59:46.953006,16.84,3.28
2025-12-19T16:59:47.003930,16.63,3.19
2025-12-19T16:59:47.055100,16.49,3.14
2025-12-19T16:59:47.106331,16.31,3.09
2025-12-19T16:59:47.158015,16.19,3.05
2025-12-19T16:59:47.209660,15.99,2.98
2025-12-19T16:59:47.260815,15.79,2.92
2025-12-19T16:59:47.311914,15.69,2.89
2025-12-19T16:59:47.363345,15.5,2.81
2025-12-19T16:59:47.414869,15.38,2.77
2025-12-19T16:59:47.465947,15.22,2.71
2025-12-19T16:59:47.516804,15.11,2.67
2025-12-19T16:59:47.568278,14.93,2.61
2025-12-19T16:59:47.620463,14.82,2.57
2025-12-19T16:59:47.672054,14.67,2.51
2025-12-19T16:59:47.723123,14.51,2.46
2025-12-19T16:59:47.775489,14.4,2.42
2025-12-19T16:59:47.827440,14.26,2.37
2025-12-19T16:59:47.878650,14.14,2.32
2025-12-19T16:59:47.931311,14.01,2.27
2025-12-19T16:59:47.982530,13.87,2.22
2025-12-19T16:59:48.033653,13.78,2.18
2025-12-19T16:59:48.084821,13.63,2.13
2025-12-19T16:59:48.135791,13.54,2.1
2025-12-19T16:59:48.186966,13.42,2.05
2025-12-19T16:59:48.238227,13.31,2.01
2025-12-19T16:59:48.289261,13.2,1.96
2025-12-19T16:59:48.341290,13.12,1.93
2025-12-19T16:59:48.392133,12.99,1.88
2025-12-19T16:59:48.443770,12.88,1.85
2025-12-19T16:59:48.496462,12.8,1.82
2025-12-19T16:59:48.547979,12.69,1.78
2025-12-19T16:59:48.599339,12.62,1.75
2025-12-19T16:59:48.651905,12.5,1.71
2025-12-19T16:59:48.702886,12.4,1.68
2025-12-19T16:59:48.754168,12.33,1.65
2025-12-19T16:59:48.805490,12.22,1.61
2025-12-19T16:59:48.856884,12.15,1.58
2025-12-19T16:59:48.907587,12.05,1.55
2025-12-19T16:59:48.958893,11.99,1.52
2025-12-19T16:59:49.009780,11.88,1.48
2025-12-19T16:59:49.061047,11.82,1.46
2025-12-19T16:59:49.111997,11.72,1.42
2025-12-19T16:59:49.163186,11.63,1.39
2025-12-19T16:59:49.214225,11.57,1.37
2025-12-19T16:59:49.264909,11.49,1.33
2025-12-19T16:59:49.315733,11.42,1.3
2025-12-19T16:59:49.366866,11.35,1.26
2025-12-19T16:59:49.417875,11.29,1.23
2025-12-19T16:59:49.468907,11.22,1.19
2025-12-19T16:59:49.521073,11.17,1.17
2025-12-19T16:59:49.571965,11.09,1.13
2025-12-19T16:59:49.622988,11.03,1.09
2025-12-19T16:59:49.673936,10.98,1.07
2025-12-19T16:59:49.724733,10.9,1.04
2025-12-19T16:59:49.775915,10.86,1.02
2025-12-19T16:59:49.827075,10.8,0.99
2025-12-19T16:59:49.878230,10.76,0.96
2025-12-19T16:59:49.929318,10.69,0.94
2025-12-19T16:59:49.981149,10.65,0.92
2025-12-19T16:59:50.032500,10.58,0.89
2025-12-19T16:59:50.084056,10.53,0.86
2025-12-19T16:59:50.135924,10.49,0.84
2025-12-19T16:59:50.186984,10.44,0.82
2025-12-19T16:59:50.237889,10.4,0.8
2025-12-19T16:59:50.288864,10.34,0.78
2025-12-19T16:59:50.340788,10.31,0.77
2025-12-19T16:59:50.392046,10.25,0.77
2025-12-19T16:59:50.442817,10.2,0.77
2025-12-19T16:59:50.493908,10.17,0.76
2025-12-19T16:59:50.544681,10.12,0.76
2025-12-19T16:59:50.596455,10.08,0.77
2025-12-19T16:59:50.647756,10.03,0.77
2025-12-19T16:59:50.699214,9.99,0.77
2025-12-19T16:59:50.749908,9.94,0.77
