time,altitude_m,v_down_m_s
2025-12-19T17:57:30.581255,40.94,-0.02
2025-12-19T17:57:30.632382,40.95,0.01
2025-12-19T17:57:30.684468,40.94,0.28
2025-12-19T17:57:30.735913,40.91,0.74
2025-12-19T17:57:30.787055,40.87,1.15
2025-12-19T17:57:30.837787,40.79,1.63
2025-12-19T17:57:30.888751,40.72,1.98
2025-12-19T17:57:30.939678,40.6,2.44
2025-12-19T17:57:30.991426,40.44,2.93
2025-12-19T17:57:31.043966,40.32,3.22
2025-12-19T17:57:31.095182,40.11,3.7
2025-12-19T17:57:31.146563,40.0,4.01
2025-12-19T17:57:31.198163,39.74,4.45
2025-12-19T17:57:31.249803,39.49,4.89
2025-12-19T17:57:31.301222,39.3,5.21
2025-12-19T17:57:31.352673,38.96,5.72
2025-12-19T17:57:31.404048,38.74,6.05
2025-12-19T17:57:31.454828,38.4,6.5
2025-12-19T17:57:31.506215,38.14,6.81
2025-12-19T17:57:31.557757,37.7,7.19
2025-12-19T17:57:31.609457,37.42,7.35
2025-12-19T17:57:31.660190,37.01,7.48
2025-12-19T17:57:31.711389,36.55,7.54
2025-12-19T17:57:31.762209,36.26,7.56
2025-12-19T17:57:31.813750,35.85,7.6
2025-12-19T17:57:31.864798,35.55,7.63
2025-12-19T17:57:31.915839,35.08,7.67
2025-12-19T17:57:31.966531,34.78,7.68
2025-12-19T17:57:32.017722,34.36,7.7
2025-12-19T17:57:32.069557,34.06,7.71
2025-12-19T17:57:32.120692,33.58,7.73
2025-12-19T17:57:32.171528,33.1,7.74
2025-12-19T17:57:32.222543,32.79,7.75
2025-12-19T17:57:32.273390,32.36,7.76
2025-12-19T17:57:32.324428,32.06,7.77
2025-12-19T17:57:32.375442,31.63,7.77
2025-12-19T17:57:32.426732,31.33,7.78
2025-12-19T17:57:32.477758,30.83,7.79
2025-12-19T17:57:32.529441,30.53,7.79
2025-12-19T17:57:32.580622,30.03,7.8
2025-12-19T17:57:32.631573,29.6,7.8
2025-12-19T17:57:32.682370,29.29,7.8
2025-12-19T17:57:32.733553,28.86,7.8
2025-12-19T17:57:32.785093,28.55,7.81
2025-12-19T17:57:32.836623,28.06,7.81
2025-12-19T17:57:32.887686,27.75,7.81
2025-12-19T17:57:32.939079,27.31,7.82
2025-12-19T17:57:32.990162,27.0,7.8
2025-12-19T17:57:33.041261,26.5,7.69
