time,altitude_m,v_down_m_s
2025-12-20T21:18:36.850350,40.06,0.01
2025-12-20T21:18:36.901489,40.06,0.02
2025-12-20T21:18:36.952162,40.05,0.38
2025-12-20T21:18:37.004047,40.03,0.71
2025-12-20T21:18:37.054960,39.98,1.18
2025-12-20T21:18:37.106036,39.89,1.74
2025-12-20T21:18:37.157131,39.81,2.09
2025-12-20T21:18:37.208138,39.7,2.54
2025-12-20T21:18:37.259653,39.59,2.85
2025-12-20T21:18:37.311006,39.4,3.32
2025-12-20T21:18:37.362032,39.27,3.62
2025-12-20T21:18:37.412914,39.07,4.05
2025-12-20T21:18:37.464272,38.88,4.43
2025-12-20T21:18:37.515098,38.63,4.87
2025-12-20T21:18:37.566543,38.36,5.32
2025-12-20T21:18:37.617173,38.11,5.7
2025-12-20T21:18:37.667968,37.8,6.16
2025-12-20T21:18:37.719403,37.55,6.48
2025-12-20T21:18:37.770431,37.19,6.9
2025-12-20T21:18:37.821517,36.87,7.18
2025-12-20T21:18:37.872334,36.48,7.41
2025-12-20T21:18:37.924507,36.2,7.51
2025-12-20T21:18:37.975525,35.79,7.59
2025-12-20T21:18:38.026801,35.31,7.64
2025-12-20T21:18:38.077420,35.01,7.67
2025-12-20T21:18:38.128283,34.59,7.7
2025-12-20T21:18:38.180562,34.29,7.72
2025-12-20T21:18:38.232035,33.81,7.74
2025-12-20T21:18:38.283907,33.51,7.75
2025-12-20T21:18:38.336367,33.02,7.76
2025-12-20T21:18:38.387066,32.6,7.77
2025-12-20T21:18:38.438236,32.3,7.78
2025-12-20T21:18:38.488731,31.87,7.79
2025-12-20T21:18:38.539949,31.57,7.8
2025-12-20T21:18:38.591508,31.08,7.81
2025-12-20T21:18:38.642376,30.77,7.81
2025-12-20T21:18:38.693490,30.34,7.81
2025-12-20T21:18:38.745554,30.04,7.82
2025-12-20T21:18:38.796120,29.55,7.83
2025-12-20T21:18:38.847229,29.12,7.83
2025-12-20T21:18:38.897857,28.81,7.84
2025-12-20T21:18:38.949111,28.31,7.84
2025-12-20T21:18:38.999964,28.01,7.85
2025-12-20T21:18:39.050990,27.57,7.85
2025-12-20T21:18:39.102015,27.26,7.86
2025-12-20T21:18:39.153456,26.77,7.86
2025-12-20T21:18:39.205005,26.46,7.86
2025-12-20T21:18:39.256061,26.02,7.86
2025-12-20T21:18:39.307365,25.53,7.86
2025-12-20T21:18:39.358541,25.22,7.87
2025-12-20T21:18:39.409843,24.72,7.87
2025-12-20T21:18:39.460628,24.4,7.87
2025-12-20T21:18:39.511386,23.96,7.87
2025-12-20T21:18:39.562309,23.65,7.87
2025-12-20T21:18:39.613182,23.21,7.87
2025-12-20T21:18:39.665122,22.9,7.87
2025-12-20T21:18:39.716232,22.4,7.87
2025-12-20T21:18:39.767356,21.96,7.87
2025-12-20T21:18:39.818494,21.59,7.87
2025-12-20T21:18:39.869299,21.15,7.87
2025-12-20T21:18:39.920405,20.84,7.87
2025-12-20T21:18:39.971590,20.4,7.87
2025-12-20T21:18:40.022326,20.08,7.87
2025-12-20T21:18:40.073602,19.58,7.87
2025-12-20T21:18:40.125381,19.27,7.87
2025-12-20T21:18:40.176829,18.77,7.87
2025-12-20T21:18:40.227664,18.33,7.87
2025-12-20T21:18:40.278458,18.01,7.87
2025-12-20T21:18:40.329506,17.57,7.87
2025-12-20T21:18:40.380587,17.26,7.87
2025-12-20T21:18:40.431705,16.76,7.87
2025-12-20T21:18:40.482602,16.44,7.87
2025-12-20T21:18:40.533934,15.94,7.87
2025-12-20T21:18:40.585933,15.63,7.87
2025-12-20T21:18:40.637566,15.18,7.87
2025-12-20T21:18:40.688712,14.74,7.87
2025-12-20T21:18:40.740709,14.43,7.87
2025-12-20T21:18:40.791758,13.93,7.87
2025-12-20T21:18:40.842446,13.61,7.87
2025-12-20T21:18:40.893801,13.17,7.87
2025-12-20T21:18:40.946427,12.86,7.87
2025-12-20T21:18:40.998275,12.35,7.86
2025-12-20T21:18:41.049530,11.91,7.86
2025-12-20T21:18:41.101349,11.54,7.87
2025-12-20T21:18:41.152366,11.1,7.87
2025-12-20T21:18:41.202993,10.78,7.87
2025-12-20T21:18:41.254146,10.28,7.87
2025-12-20T21:18:41.306551,10.03,7.87
2025-12-20T21:18:41.358420,9.53,7.88
2025-12-20T21:18:41.410277,9.09,7.88
2025-12-20T21:18:41.461263,8.77,7.88
2025-12-20T21:18:41.511968,8.27,7.88
2025-12-20T21:18:41.563288,7.95,7.88
2025-12-20T21:18:41.614073,7.51,7.88
2025-12-20T21:18:41.666383,7.2,7.88
2025-12-20T21:18:41.717178,6.69,7.88
2025-12-20T21:18:41.768849,6.19,7.88
2025-12-20T21:18:41.821554,5.87,7.88
2025-12-20T21:18:41.872471,5.43,7.88
2025-12-20T21:18:41.923788,5.11,7.88
2025-12-20T21:18:41.974689,4.67,7.88
2025-12-20T21:18:42.026619,4.36,7.88
2025-12-20T21:18:42.077813,3.85,7.89
