time,altitude,v_down
2026-01-09T14:29:26.671772,41.03,-0.43
2026-01-09T14:29:26.723533,41.05,-0.42
2026-01-09T14:29:26.775957,41.07,-0.15
2026-01-09T14:29:26.827897,41.07,0.2
2026-01-09T14:29:26.880130,41.05,0.62
2026-01-09T14:29:26.932116,41.0,1.04
2026-01-09T14:29:26.984490,40.95,1.33
2026-01-09T14:29:27.036776,40.86,1.8
2026-01-09T14:29:27.088832,40.79,2.09
2026-01-09T14:29:27.141477,40.67,2.49
2026-01-09T14:29:27.193862,40.5,2.95
2026-01-09T14:29:27.245516,40.38,3.23
2026-01-09T14:29:27.297188,40.21,3.63
2026-01-09T14:29:27.349328,40.06,3.92
2026-01-09T14:29:27.402120,39.81,4.39
2026-01-09T14:29:27.453773,39.56,4.81
2026-01-09T14:29:27.506007,39.37,5.13
2026-01-09T14:29:27.558195,39.05,5.65
2026-01-09T14:29:27.611752,38.82,5.98
2026-01-09T14:29:27.664163,38.48,6.47
2026-01-09T14:29:27.716247,38.07,7.01
2026-01-09T14:29:27.768508,37.8,7.28
2026-01-09T14:29:27.820783,37.39,7.58
2026-01-09T14:29:27.873358,36.91,7.86
2026-01-09T14:29:27.925548,36.6,7.97
2026-01-09T14:29:27.978031,36.1,7.99
2026-01-09T14:29:28.030003,35.84,7.96
2026-01-09T14:29:28.084048,35.36,7.88
2026-01-09T14:29:28.136254,34.93,7.8
2026-01-09T14:29:28.188667,34.62,7.75
2026-01-09T14:29:28.240269,34.14,7.7
2026-01-09T14:29:28.292746,33.84,7.69
2026-01-09T14:29:28.345744,33.42,7.7
2026-01-09T14:29:28.398439,32.93,7.72
2026-01-09T14:29:28.450792,32.63,7.73
2026-01-09T14:29:28.503940,32.2,7.75
2026-01-09T14:29:28.556291,31.71,7.77
2026-01-09T14:29:28.608745,31.41,7.77
2026-01-09T14:29:28.661464,30.98,7.78
2026-01-09T14:29:28.713906,30.67,7.79
2026-01-09T14:29:28.766290,30.18,7.8
2026-01-09T14:29:28.818178,29.75,7.81
2026-01-09T14:29:28.869922,29.44,7.82
2026-01-09T14:29:28.922356,28.95,7.83
2026-01-09T14:29:28.974023,28.52,7.84
2026-01-09T14:29:29.026585,28.21,7.84
2026-01-09T14:29:29.078776,27.71,7.85
2026-01-09T14:29:29.130851,27.4,7.86
2026-01-09T14:29:29.183129,26.9,7.86
2026-01-09T14:29:29.235559,26.46,7.87
2026-01-09T14:29:29.288911,26.15,7.87
2026-01-09T14:29:29.341117,25.71,7.87
2026-01-09T14:29:29.394133,25.4,7.87
2026-01-09T14:29:29.446599,24.9,7.88
2026-01-09T14:29:29.499298,24.46,7.88
2026-01-09T14:29:29.551406,24.15,7.88
2026-01-09T14:29:29.603718,23.65,7.89
2026-01-09T14:29:29.656244,23.21,7.89
2026-01-09T14:29:29.709228,22.83,7.89
2026-01-09T14:29:29.761350,22.39,7.9
2026-01-09T14:29:29.814368,22.08,7.9
2026-01-09T14:29:29.866444,21.64,7.9
2026-01-09T14:29:29.918501,21.14,7.9
2026-01-09T14:29:29.970335,20.82,7.9
2026-01-09T14:29:30.022689,20.38,7.9
2026-01-09T14:29:30.075473,19.88,7.91
2026-01-09T14:29:30.127718,19.56,7.91
2026-01-09T14:29:30.180253,19.12,7.91
2026-01-09T14:29:30.232132,18.81,7.91
2026-01-09T14:29:30.285154,18.3,7.91
2026-01-09T14:29:30.337445,17.86,7.91
2026-01-09T14:29:30.390019,17.55,7.91
2026-01-09T14:29:30.442547,17.04,7.91
2026-01-09T14:29:30.494516,16.73,7.91
2026-01-09T14:29:30.547196,16.28,7.91
2026-01-09T14:29:30.599045,15.78,7.91
2026-01-09T14:29:30.651112,15.46,7.91
2026-01-09T14:29:30.702988,15.02,7.92
2026-01-09T14:29:30.754314,14.71,7.92
2026-01-09T14:29:30.805672,14.2,7.92
2026-01-09T14:29:30.857769,13.76,7.92
2026-01-09T14:29:30.909781,13.44,7.92
2026-01-09T14:29:30.961883,12.93,7.92
2026-01-09T14:29:31.015218,12.62,7.92
2026-01-09T14:29:31.066955,12.17,7.92
2026-01-09T14:29:31.118843,11.67,7.92
2026-01-09T14:29:31.170916,11.35,7.92
2026-01-09T14:29:31.222625,10.91,7.92
2026-01-09T14:29:31.274696,10.59,7.91
2026-01-09T14:29:31.326652,10.08,7.92
2026-01-09T14:29:31.378576,9.58,7.92
2026-01-09T14:29:31.430656,9.32,7.91
2026-01-09T14:29:31.482957,8.82,7.91
2026-01-09T14:29:31.535732,8.5,7.91
2026-01-09T14:29:31.587863,8.05,7.91
2026-01-09T14:29:31.639854,7.55,7.91
