timestamp,altitude_m,v_down_m_s
2025-12-19T17:03:16.592887,41.14,-0.02
2025-12-19T17:03:16.644010,41.14,-0.02
2025-12-19T17:03:16.696206,41.14,0.16
2025-12-19T17:03:16.747252,41.12,0.67
2025-12-19T17:03:16.798789,41.07,1.15
2025-12-19T17:03:16.851008,41.02,1.49
2025-12-19T17:03:16.901784,40.91,2.05
2025-12-19T17:03:16.953177,40.83,2.38
2025-12-19T17:03:17.004142,40.7,2.8
2025-12-19T17:03:17.056637,40.59,3.1
2025-12-19T17:03:17.108169,40.38,3.58
2025-12-19T17:03:17.159303,40.18,4.0
2025-12-19T17:03:17.211878,40.0,4.38
2025-12-19T17:03:17.262776,39.76,4.82
2025-12-19T17:03:17.313850,39.57,5.14
2025-12-19T17:03:17.364721,39.28,5.58
2025-12-19T17:03:17.417156,39.02,5.97
2025-12-19T17:03:17.468786,38.69,6.42
2025-12-19T17:03:17.519690,38.28,6.9
2025-12-19T17:03:17.571588,38.07,7.09
2025-12-19T17:03:17.622645,37.62,7.37
2025-12-19T17:03:17.674386,37.33,7.47
2025-12-19T17:03:17.726016,36.91,7.54
2025-12-19T17:03:17.777089,36.63,7.58
2025-12-19T17:03:17.828073,36.16,7.62
2025-12-19T17:03:17.879643,35.75,7.66
2025-12-19T17:03:17.932155,35.45,7.69
2025-12-19T17:03:17.983106,34.98,7.71
2025-12-19T17:03:18.034139,34.68,7.73
2025-12-19T17:03:18.085072,34.26,7.74
2025-12-19T17:03:18.137252,33.96,7.75
2025-12-19T17:03:18.188572,33.48,7.77
2025-12-19T17:03:18.239843,33.06,7.78
2025-12-19T17:03:18.291945,32.75,7.79
2025-12-19T17:03:18.342696,32.26,7.8
2025-12-19T17:03:18.393830,31.96,7.81
2025-12-19T17:03:18.445032,31.53,7.82
2025-12-19T17:03:18.497257,31.23,7.82
2025-12-19T17:03:18.548329,30.73,7.83
2025-12-19T17:03:18.599459,30.25,7.83
2025-12-19T17:03:18.650369,30.0,7.84
2025-12-19T17:03:18.701175,29.51,7.84
2025-12-19T17:03:18.751783,29.2,7.85
2025-12-19T17:03:18.802834,28.7,7.85
2025-12-19T17:03:18.853821,28.4,7.85
2025-12-19T17:03:18.904923,27.96,7.86
2025-12-19T17:03:18.957116,27.65,7.86
2025-12-19T17:03:19.008687,27.22,7.86
2025-12-19T17:03:19.059726,26.72,7.79
2025-12-19T17:03:19.112289,26.41,7.7
