timestamp,phase,altitude_m,vertical_speed_m_s,horizontal_speed_m_s,roll_deg,pitch_deg,yaw_deg
2026-01-09T18:43:33.133227,ASCENT,9.09,-0.87,0.05,0.18,0.26,91.19
2026-01-09T18:43:33.184014,ASCENT,9.15,-0.84,0.04,0.21,0.27,91.2
2026-01-09T18:43:33.235033,ASCENT,9.19,-1.35,0.04,0.04,0.63,90.71
2026-01-09T18:43:33.285723,ASCENT,9.3,-2.28,0.05,-0.37,1.5,88.04
2026-01-09T18:43:33.335890,ASCENT,9.48,-3.24,0.06,-0.94,1.77,84.03
2026-01-09T18:43:33.387083,ASCENT,9.62,-3.82,0.1,-1.15,1.63,78.64
2026-01-09T18:43:33.437342,ASCENT,9.85,-4.52,0.13,-0.99,1.38,72.91
2026-01-09T18:43:33.488145,ASCENT,10.04,-4.87,0.14,-0.3,0.89,63.95
2026-01-09T18:43:33.538486,ASCENT,10.37,-5.39,0.14,0.41,0.6,56.8
2026-01-09T18:43:33.588930,ASCENT,10.58,-5.63,0.12,1.77,-0.59,45.91
2026-01-09T18:43:33.639445,ASCENT,10.89,-5.8,0.08,2.52,-1.53,39.73
2026-01-09T18:43:33.690331,ASCENT,11.11,-5.85,0.05,2.86,-2.44,32.81
2026-01-09T18:43:33.740639,ASCENT,11.47,-5.89,0.04,2.36,-2.61,29.55
2026-01-09T18:43:33.791748,ASCENT,11.7,-5.9,0.07,1.29,-2.42,27.31
2026-01-09T18:43:33.842753,ASCENT,12.01,-5.92,0.09,-0.27,-1.81,25.13
2026-01-09T18:43:33.893972,ASCENT,12.24,-5.94,0.1,-1.37,-1.05,23.23
2026-01-09T18:43:33.944825,ASCENT,12.61,-5.96,0.08,-2.32,-0.04,20.45
2026-01-09T18:43:33.996077,ASCENT,12.84,-5.97,0.06,-2.54,0.69,17.9
2026-01-09T18:43:34.046582,ASCENT,13.16,-5.98,0.04,-2.17,1.19,15.37
2026-01-09T18:43:34.096957,ASCENT,13.53,-5.98,0.03,-1.34,1.39,13.06
2026-01-09T18:43:34.147741,ASCENT,13.77,-5.98,0.03,-0.15,1.23,11.04
2026-01-09T18:43:34.198976,ASCENT,14.1,-5.99,0.03,0.91,0.85,9.59
2026-01-09T18:43:34.249891,ASCENT,14.33,-5.99,0.02,1.85,0.2,8.26
2026-01-09T18:43:34.300623,ASCENT,14.7,-5.99,0.01,2.08,-0.33,7.35
2026-01-09T18:43:34.351179,ASCENT,14.94,-5.99,0.02,1.76,-0.68,6.61
2026-01-09T18:43:34.402033,ASCENT,15.27,-6.0,0.05,1.02,-0.86,5.84
2026-01-09T18:43:34.452956,ASCENT,15.51,-6.0,0.05,0.07,-0.8,5.06
2026-01-09T18:43:34.503795,ASCENT,15.88,-6.0,0.05,-0.82,-0.55,4.27
2026-01-09T18:43:34.555060,ASCENT,16.12,-6.01,0.04,-1.42,-0.22,3.51
2026-01-09T18:43:34.605525,ASCENT,16.45,-6.01,0.04,-1.65,0.12,2.81
2026-01-09T18:43:34.656287,ASCENT,16.69,-6.01,0.03,-1.51,0.46,2.17
2026-01-09T18:43:34.706955,ASCENT,17.08,-6.0,0.02,-1.01,0.68,1.71
2026-01-09T18:43:34.758110,ASCENT,17.41,-6.01,0.02,-0.32,0.72,1.37
2026-01-09T18:43:34.808889,ASCENT,17.65,-6.01,0.02,0.43,0.59,1.09
2026-01-09T18:43:34.859987,ASCENT,18.03,-6.01,0.01,0.97,0.37,0.9
2026-01-09T18:43:34.910351,ASCENT,18.27,-6.0,0.0,1.26,-0.01,0.7
2026-01-09T18:43:34.961307,ASCENT,18.6,-6.01,0.01,1.17,-0.31,0.57
2026-01-09T18:43:35.012028,ASCENT,18.84,-6.01,0.02,0.8,-0.45,0.44
2026-01-09T18:43:35.062828,ASCENT,19.22,-6.0,0.03,0.21,-0.47,0.31
2026-01-09T18:43:35.113868,ASCENT,19.46,-6.0,0.03,-0.33,-0.35,0.17
2026-01-09T18:43:35.164624,ASCENT,19.79,-6.0,0.02,-0.8,-0.11,-0.02
2026-01-09T18:43:35.215053,ASCENT,20.03,-6.0,0.01,-0.99,0.17,-0.19
2026-01-09T18:43:35.265941,ASCENT,20.41,-6.0,0.01,-0.9,0.35,-0.34
2026-01-09T18:43:35.316850,ASCENT,20.65,-6.0,0.01,-0.62,0.41,-0.44
2026-01-09T18:43:35.367710,ASCENT,20.99,-6.0,0.02,-0.15,0.4,-0.52
2026-01-09T18:43:35.418745,ASCENT,21.37,-6.01,0.01,0.31,0.37,-0.54
2026-01-09T18:43:35.469658,ASCENT,21.61,-6.01,0.01,0.71,0.23,-0.55
