timestamp,phase,altitude_m,vertical_speed_m_s,horizontal_speed_m_s,roll_deg,pitch_deg,yaw_deg,hover_time_s,target_distance_m
2026-01-09T19:00:37.028065,ASCENT,9.09,-0.86,0.04,0.21,0.41,90.51,0.0,0.0
2026-01-09T19:00:37.079190,ASCENT,9.15,-0.84,0.04,0.19,0.44,90.53,0.0,0.0
2026-01-09T19:00:37.130481,ASCENT,9.18,-0.82,0.04,0.18,0.43,90.52,0.0,0.0
2026-01-09T19:00:37.181741,ASCENT,9.24,-1.6,0.06,0.25,0.74,89.78,0.0,0.0
2026-01-09T19:00:37.232705,ASCENT,9.38,-2.63,0.09,0.19,1.35,85.9,0.0,0.0
2026-01-09T19:00:37.283427,ASCENT,9.5,-3.22,0.1,0.09,1.17,81.51,0.0,0.0
2026-01-09T19:00:37.333694,ASCENT,9.74,-4.15,0.13,0.22,1.01,75.86,0.0,0.0
2026-01-09T19:00:37.384811,ASCENT,9.88,-4.52,0.14,0.34,0.67,69.73,0.0,0.0
2026-01-09T19:00:37.435722,ASCENT,10.19,-5.06,0.14,0.67,0.34,62.15,0.0,0.0
2026-01-09T19:00:37.485957,ASCENT,10.39,-5.39,0.13,1.15,-0.08,52.62,0.0,0.0
2026-01-09T19:00:37.537139,ASCENT,10.68,-5.69,0.1,1.66,-1.22,44.16,0.0,0.0
2026-01-09T19:00:37.587857,ASCENT,10.95,-5.81,0.06,1.97,-2.3,36.85,0.0,0.0
2026-01-09T19:00:37.638998,ASCENT,11.26,-5.87,0.02,1.87,-2.68,32.17,0.0,0.0
2026-01-09T19:00:37.689261,ASCENT,11.49,-5.89,0.03,1.28,-2.52,28.69,0.0,0.0
2026-01-09T19:00:37.740232,ASCENT,11.8,-5.91,0.06,0.56,-1.99,26.77,0.0,0.0
2026-01-09T19:00:37.791404,ASCENT,12.02,-5.92,0.08,-0.37,-1.02,24.75,0.0,0.0
2026-01-09T19:00:37.842562,ASCENT,12.39,-5.95,0.07,-1.03,-0.08,22.71,0.0,0.0
2026-01-09T19:00:37.893570,ASCENT,12.71,-5.97,0.05,-1.38,0.94,19.74,0.0,0.0
2026-01-09T19:00:37.943966,ASCENT,12.94,-5.98,0.04,-1.32,1.37,17.64,0.0,0.0
2026-01-09T19:00:37.994935,ASCENT,13.31,-5.99,0.02,-0.79,1.48,14.55,0.0,0.0
2026-01-09T19:00:38.045532,ASCENT,13.54,-5.99,0.02,-0.04,1.15,12.26,0.0,0.0
2026-01-09T19:00:38.096572,ASCENT,13.87,-6.0,0.02,0.69,0.69,10.53,0.0,0.0
2026-01-09T19:00:38.147491,ASCENT,14.11,-6.0,0.02,1.35,0.13,9.13,0.0,0.0
2026-01-09T19:00:38.198525,ASCENT,14.49,-6.0,0.01,1.65,-0.39,8.11,0.0,0.0
2026-01-09T19:00:38.249568,ASCENT,14.72,-6.0,0.01,1.6,-0.76,7.17,0.0,0.0
2026-01-09T19:00:38.299984,ASCENT,15.05,-6.0,0.02,1.24,-0.85,6.53,0.0,0.0
2026-01-09T19:00:38.351035,ASCENT,15.29,-6.0,0.04,0.64,-0.73,5.76,0.0,0.0
2026-01-09T19:00:38.402809,ASCENT,15.67,-6.0,0.04,0.03,-0.43,5.04,0.0,0.0
