timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,total_speed_m_s,roll_deg,pitch_deg,yaw_deg,loiter_time_s,target_distance_m
2026-01-20T15:18:37.453801,CLIMB,0.0,-0.01,0.01,0.01,-0.41,-0.45,86.75,0.0,0.0
2026-01-20T15:18:37.555567,CLIMB,0.0,-0.01,0.02,0.02,-0.4,-0.42,86.75,0.0,0.0
2026-01-20T15:18:37.656572,CLIMB,0.0,-0.01,0.02,0.02,-0.41,-0.44,86.77,0.0,0.0
2026-01-20T15:18:37.757310,CLIMB,0.0,-0.01,0.01,0.02,-0.43,-0.45,86.77,0.0,0.0
2026-01-20T15:18:37.857723,CLIMB,0.0,-0.01,0.02,0.02,-0.45,-0.49,86.78,0.0,0.0
2026-01-20T15:18:37.957960,CLIMB,0.0,-0.01,0.02,0.02,-0.44,-0.52,86.79,0.0,0.0
2026-01-20T15:18:38.058537,CLIMB,-0.0,0.0,0.02,0.02,-0.44,-0.56,86.78,0.0,0.0
2026-01-20T15:18:38.159674,CLIMB,-0.0,0.0,0.02,0.02,-0.43,-0.56,86.8,0.0,0.0
2026-01-20T15:18:38.260580,CLIMB,-0.0,0.0,0.02,0.02,-0.4,-0.56,86.78,0.0,0.0
2026-01-20T15:18:38.361883,CLIMB,-0.0,0.0,0.04,0.04,-0.39,-0.57,86.77,0.0,0.0
2026-01-20T15:18:38.462479,CLIMB,-0.0,0.0,0.27,0.27,-0.39,-0.6,86.77,0.0,0.0
2026-01-20T15:18:38.563645,CLIMB,-0.0,-0.01,0.82,0.82,-0.36,-0.6,86.74,0.0,0.0
2026-01-20T15:18:38.664202,CLIMB,-0.0,-0.01,1.6,1.6,-0.36,-0.59,86.75,0.0,0.0
2026-01-20T15:18:38.764981,CLIMB,0.0,0.0,2.68,2.68,-0.34,-0.56,86.77,0.0,0.0
2026-01-20T15:18:38.865487,CLIMB,0.0,0.0,4.19,4.19,-0.34,-0.53,86.85,0.0,0.0
