timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,total_speed_m_s,roll_deg,pitch_deg,yaw_deg,loiter_time_s,target_distance_m,dive_distance_m,dive_time_s
2026-01-20T15:31:04.631970,CLIMB,0.0,0.0,0.03,0.03,-0.08,0.2,90.49,0.0,0.0,0.0,0.0
2026-01-20T15:31:04.733119,CLIMB,0.0,0.0,0.03,0.03,-0.09,0.21,90.44,0.0,0.0,0.0,0.0
2026-01-20T15:31:04.833995,CLIMB,0.0,0.0,0.03,0.03,-0.09,0.19,90.43,0.0,0.0,0.0,0.0
2026-01-20T15:31:04.935193,CLIMB,0.0,0.0,0.03,0.03,-0.07,0.18,90.44,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.036303,CLIMB,0.0,0.0,0.03,0.03,-0.1,0.19,90.45,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.138240,CLIMB,0.0,0.0,0.03,0.03,-0.12,0.18,90.45,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.239135,CLIMB,0.0,0.0,0.03,0.03,-0.15,0.18,90.47,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.340088,CLIMB,0.01,0.0,0.03,0.03,-0.13,0.17,90.5,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.441118,CLIMB,0.01,0.0,0.04,0.04,-0.15,0.16,90.51,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.542183,CLIMB,0.01,0.0,0.02,0.02,-0.1,0.17,90.53,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.643158,CLIMB,0.01,0.0,0.25,0.25,-0.09,0.17,90.51,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.744141,CLIMB,0.01,0.0,0.75,0.75,-0.08,0.19,90.51,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.845278,CLIMB,0.01,-0.01,1.6,1.6,-0.08,0.17,90.5,0.0,0.0,0.0,0.0
2026-01-20T15:31:05.946263,CLIMB,0.0,-0.01,2.7,2.7,-0.07,0.16,90.51,0.0,0.0,0.0,0.0
2026-01-20T15:31:06.047297,CLIMB,0.0,-0.02,4.25,4.25,-0.09,0.2,90.67,0.0,0.0,0.0,0.0
2026-01-20T15:31:06.148215,CLIMB,0.01,-0.08,6.03,6.03,-0.06,-0.44,92.16,0.0,0.0,0.0,0.0
2026-01-20T15:31:06.249154,CLIMB,0.02,-0.09,8.09,8.09,-0.04,-1.62,94.79,0.0,0.0,0.0,0.0
2026-01-20T15:31:06.350236,CLIMB,0.03,-0.08,10.02,10.02,-0.05,-2.14,97.62,0.0,0.0,0.0,0.0
2026-01-20T15:31:06.451104,CLIMB,0.04,-0.1,12.06,12.06,-0.03,-2.36,99.45,0.0,0.0,0.0,0.0
2026-01-20T15:31:06.551298,CLIMB,0.05,-0.12,13.95,13.95,-0.01,-2.51,99.48,0.0,0.0,0.0,0.0
2026-01-20T15:31:06.652225,CLIMB,0.06,-0.13,15.53,15.53,0.02,-2.57,98.91,0.0,0.0,0.0,0.0
2026-01-20T15:31:06.753216,CLIMB,0.08,-0.17,16.96,16.96,0.02,-2.78,97.82,0.0,0.0,0.0,0.0
2026-01-20T15:31:06.854257,CLIMB,0.1,-0.16,17.98,17.98,0.04,-2.64,97.25,0.0,0.0,0.0,0.0
