timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,roll_deg,pitch_deg,yaw_deg
2026-01-20T16:57:42.503252,CLIMB,0.0,-0.01,0.01,0.09,0.14,90.66
2026-01-20T16:57:42.603463,CLIMB,0.0,0.0,0.01,0.09,0.14,90.71
2026-01-20T16:57:42.704335,CLIMB,0.0,-0.01,0.01,0.11,0.14,90.7
2026-01-20T16:57:42.805653,CLIMB,0.0,-0.01,0.01,0.12,0.15,90.71
2026-01-20T16:57:42.906023,CLIMB,0.0,0.0,0.01,0.1,0.18,90.71
2026-01-20T16:57:43.006331,CLIMB,-0.0,0.0,0.01,0.09,0.16,90.7
2026-01-20T16:57:43.107162,CLIMB,-0.0,0.0,0.02,0.11,0.17,90.7
2026-01-20T16:57:43.207879,CLIMB,0.0,0.0,0.03,0.11,0.13,90.7
2026-01-20T16:57:43.308622,CLIMB,0.0,0.0,0.02,0.09,0.11,90.67
2026-01-20T16:57:43.409166,CLIMB,0.0,-0.01,0.03,0.07,0.11,90.67
2026-01-20T16:57:43.509570,CLIMB,0.0,-0.01,0.03,0.06,0.14,90.64
2026-01-20T16:57:43.610572,CLIMB,0.0,0.0,0.02,0.04,0.14,90.66
2026-01-20T16:57:43.711853,CLIMB,0.0,-0.01,0.02,0.04,0.14,90.67
2026-01-20T16:57:43.812253,CLIMB,0.0,-0.01,0.03,0.06,0.1,90.67
2026-01-20T16:57:43.913493,CLIMB,0.0,-0.01,0.02,0.07,0.12,90.67
2026-01-20T16:57:44.014379,CLIMB,0.0,-0.01,0.02,0.08,0.12,90.7
2026-01-20T16:57:44.115074,CLIMB,-0.0,-0.01,0.02,0.06,0.1,90.7
2026-01-20T16:57:44.215579,CLIMB,-0.0,-0.01,0.02,0.05,0.09,90.69
2026-01-20T16:57:44.316478,CLIMB,-0.0,-0.01,0.02,0.03,0.08,90.7
2026-01-20T16:57:44.417191,CLIMB,-0.0,-0.01,0.01,0.01,0.11,90.67
2026-01-20T16:57:44.518123,CLIMB,-0.0,-0.01,0.01,-0.0,0.13,90.69
2026-01-20T16:57:44.619175,CLIMB,-0.0,-0.01,0.01,-0.01,0.12,90.69
2026-01-20T16:57:44.719477,CLIMB,-0.0,0.0,0.01,-0.03,0.1,90.67
2026-01-20T16:57:44.820311,CLIMB,-0.0,-0.01,0.01,-0.02,0.1,90.69
2026-01-20T16:57:44.921106,CLIMB,-0.0,-0.01,0.01,-0.06,0.1,90.68
2026-01-20T16:57:45.021764,CLIMB,-0.0,-0.01,0.02,-0.06,0.14,90.67
2026-01-20T16:57:45.122317,CLIMB,-0.0,-0.01,0.02,-0.05,0.15,90.65
2026-01-20T16:57:45.222848,CLIMB,-0.0,-0.01,0.02,-0.03,0.17,90.66
2026-01-20T16:57:45.323937,CLIMB,0.0,-0.01,0.02,-0.03,0.16,90.67
2026-01-20T16:57:45.424705,CLIMB,0.0,-0.01,0.02,-0.02,0.13,90.66
2026-01-20T16:57:45.525378,CLIMB,0.0,-0.02,0.02,-0.03,0.1,90.67
2026-01-20T16:57:45.626520,CLIMB,0.0,-0.01,0.01,-0.03,0.07,90.67
2026-01-20T16:57:45.727330,CLIMB,0.0,-0.01,0.01,-0.07,0.08,90.69
2026-01-20T16:57:45.828365,CLIMB,0.01,-0.01,0.01,-0.07,0.08,90.66
2026-01-20T16:57:45.928760,CLIMB,0.01,-0.01,0.0,-0.08,0.07,90.65
2026-01-20T16:57:46.029210,CLIMB,0.01,-0.01,0.0,-0.06,0.05,90.65
2026-01-20T16:57:46.129816,CLIMB,0.01,-0.02,0.01,-0.04,0.05,90.65
2026-01-20T16:57:46.231083,CLIMB,0.01,-0.02,0.0,-0.06,0.06,90.65
2026-01-20T16:57:46.332037,CLIMB,0.01,-0.01,0.01,-0.04,0.05,90.66
2026-01-20T16:57:46.432411,CLIMB,0.01,-0.02,0.0,-0.05,0.06,90.66
2026-01-20T16:57:46.532951,CLIMB,0.02,-0.07,0.0,0.06,0.03,90.64
2026-01-20T16:57:46.633740,CLIMB,0.03,-0.21,0.0,0.38,-0.04,90.65
2026-01-20T16:57:46.734588,CLIMB,0.06,-0.33,0.0,0.52,-0.06,90.69
2026-01-20T16:57:46.835659,CLIMB,0.09,-0.4,0.02,0.53,-0.02,90.69
2026-01-20T16:57:46.936679,CLIMB,0.13,-0.48,0.03,0.41,0.04,90.69
2026-01-20T16:57:47.037502,CLIMB,0.18,-0.55,0.03,0.3,0.07,90.67
2026-01-20T16:57:47.137868,CLIMB,0.24,-0.62,0.03,0.19,0.09,90.68
2026-01-20T16:57:47.238607,CLIMB,0.29,-0.69,0.04,0.06,0.13,90.71
2026-01-20T16:57:47.339860,CLIMB,0.37,-0.76,0.03,-0.03,0.17,90.71
2026-01-20T16:57:47.441008,CLIMB,0.44,-0.83,0.03,-0.13,0.21,90.69
2026-01-20T16:57:47.541599,CLIMB,0.53,-0.9,0.03,-0.15,0.21,90.68
2026-01-20T16:57:47.642443,CLIMB,0.63,-0.97,0.02,-0.2,0.21,90.66
2026-01-20T16:57:47.743645,CLIMB,0.72,-1.04,0.02,-0.22,0.21,90.68
2026-01-20T16:57:47.844668,CLIMB,0.83,-1.11,0.01,-0.25,0.19,90.71
2026-01-20T16:57:47.945674,CLIMB,0.94,-1.17,0.01,-0.26,0.21,90.72
2026-01-20T16:57:48.046421,CLIMB,1.06,-1.18,0.01,-0.27,0.12,90.72
2026-01-20T16:57:48.147586,CLIMB,1.17,-1.16,0.01,-0.27,0.1,90.72
2026-01-20T16:57:48.248327,CLIMB,1.28,-1.16,0.01,-0.26,0.07,90.73
2026-01-20T16:57:48.349318,CLIMB,1.39,-1.17,0.01,-0.2,0.04,90.72
2026-01-20T16:57:48.450270,CLIMB,1.51,-1.19,0.01,-0.19,0.01,90.71
