timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,total_speed_m_s,roll_deg,pitch_deg,yaw_deg,loiter_time_s,target_distance_m,dive_distance_m,dive_time_s
2026-01-20T15:54:59.981627,CLIMB,0.0,0.01,0.03,0.03,-0.0,0.09,88.81,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.083579,CLIMB,-0.0,0.01,0.04,0.04,0.02,0.1,88.82,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.184491,CLIMB,-0.0,0.01,0.04,0.04,0.04,0.08,88.83,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.285122,CLIMB,-0.0,0.01,0.04,0.04,0.05,0.05,88.84,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.385272,CLIMB,-0.0,0.01,0.04,0.04,0.01,0.07,88.83,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.486330,CLIMB,-0.0,0.01,0.04,0.04,0.01,0.12,88.82,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.586650,CLIMB,-0.0,0.01,0.05,0.05,0.01,0.13,88.83,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.687467,CLIMB,-0.01,0.01,0.05,0.05,0.0,0.13,88.85,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.788215,CLIMB,-0.01,0.01,0.06,0.06,-0.0,0.1,88.86,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.888479,CLIMB,-0.01,0.01,0.05,0.05,-0.02,0.07,88.82,0.0,0.0,0.0,0.0
2026-01-20T15:55:00.989531,CLIMB,-0.01,0.01,0.22,0.22,0.01,0.07,88.83,0.0,0.0,0.0,0.0
2026-01-20T15:55:01.090574,CLIMB,-0.01,0.01,0.72,0.72,0.01,0.08,88.84,0.0,0.0,0.0,0.0
2026-01-20T15:55:01.191148,CLIMB,-0.01,0.0,1.56,1.56,0.02,0.08,88.84,0.0,0.0,0.0,0.0
2026-01-20T15:55:01.291460,CLIMB,0.0,0.0,2.64,2.64,0.03,0.1,88.86,0.0,0.0,0.0,0.0
2026-01-20T15:55:01.392201,CLIMB,0.0,0.0,4.21,4.21,0.02,0.13,88.94,0.0,0.0,0.0,0.0
