timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,roll_deg,pitch_deg,yaw_deg
2026-01-20T17:56:33.027385,MC_CLIMB,0.0,0.0,0.03,-0.13,-0.06,87.92
2026-01-20T17:56:33.128129,MC_CLIMB,0.0,0.0,0.02,-0.13,-0.09,87.92
2026-01-20T17:56:33.228978,MC_CLIMB,-0.0,0.0,0.02,-0.12,-0.11,87.93
2026-01-20T17:56:33.329203,MC_CLIMB,-0.0,0.0,0.02,-0.14,-0.12,87.96
2026-01-20T17:56:33.430262,MC_CLIMB,-0.0,0.0,0.02,-0.13,-0.11,87.94
2026-01-20T17:56:33.530672,MC_CLIMB,-0.0,0.0,0.02,-0.14,-0.14,87.95
2026-01-20T17:56:33.631413,MC_CLIMB,-0.0,0.0,0.02,-0.12,-0.15,87.94
2026-01-20T17:56:33.732213,MC_CLIMB,-0.0,0.0,0.02,-0.12,-0.15,87.96
2026-01-20T17:56:33.833281,MC_CLIMB,-0.0,0.0,0.02,-0.12,-0.14,87.97
2026-01-20T17:56:33.934315,MC_CLIMB,-0.0,0.0,0.02,-0.15,-0.14,87.94
2026-01-20T17:56:34.034876,MC_CLIMB,-0.0,0.0,0.02,-0.16,-0.16,87.95
2026-01-20T17:56:34.135777,MC_CLIMB,-0.0,0.0,0.02,-0.16,-0.15,87.94
2026-01-20T17:56:34.235943,MC_CLIMB,-0.01,0.0,0.02,-0.19,-0.16,87.95
2026-01-20T17:56:34.336195,MC_CLIMB,0.0,0.0,0.02,-0.18,-0.15,87.94
2026-01-20T17:56:34.437196,MC_CLIMB,-0.0,0.0,0.02,-0.19,-0.12,87.93
2026-01-20T17:56:34.538077,MC_CLIMB,-0.0,0.0,0.02,-0.19,-0.09,87.9
2026-01-20T17:56:34.638573,MC_CLIMB,-0.0,0.0,0.03,-0.21,-0.09,87.89
2026-01-20T17:56:34.738970,MC_CLIMB,-0.01,0.0,0.03,-0.23,-0.1,87.87
2026-01-20T17:56:34.839978,MC_CLIMB,-0.01,0.0,0.03,-0.2,-0.09,87.87
2026-01-20T17:56:34.941036,MC_CLIMB,-0.01,0.0,0.03,-0.22,-0.09,87.9
2026-01-20T17:56:35.041211,MC_CLIMB,-0.01,0.0,0.04,-0.23,-0.09,87.94
2026-01-20T17:56:35.141615,MC_CLIMB,-0.01,0.0,0.04,-0.21,-0.09,87.94
2026-01-20T17:56:35.242428,MC_CLIMB,-0.01,0.0,0.04,-0.2,-0.09,87.93
2026-01-20T17:56:35.342897,MC_CLIMB,-0.01,0.0,0.04,-0.19,-0.11,87.94
2026-01-20T17:56:35.443122,MC_CLIMB,-0.01,0.0,0.04,-0.2,-0.13,87.95
2026-01-20T17:56:35.543926,MC_CLIMB,-0.01,0.0,0.04,-0.2,-0.14,87.95
2026-01-20T17:56:35.644353,MC_CLIMB,-0.01,0.0,0.04,-0.19,-0.14,87.93
2026-01-20T17:56:35.745185,MC_CLIMB,-0.01,0.0,0.04,-0.18,-0.17,87.96
2026-01-20T17:56:35.846130,MC_CLIMB,-0.01,0.0,0.04,-0.19,-0.19,87.97
2026-01-20T17:56:35.947050,MC_CLIMB,-0.01,0.0,0.05,-0.17,-0.2,87.95
2026-01-20T17:56:36.047991,MC_CLIMB,-0.01,0.0,0.04,-0.19,-0.17,87.97
2026-01-20T17:56:36.148997,MC_CLIMB,-0.01,0.0,0.05,-0.17,-0.19,87.96
2026-01-20T17:56:36.249537,MC_CLIMB,-0.01,0.0,0.05,-0.15,-0.19,87.97
2026-01-20T17:56:36.350329,MC_CLIMB,-0.01,0.0,0.05,-0.16,-0.18,87.96
2026-01-20T17:56:36.450591,MC_CLIMB,-0.01,-0.01,0.05,-0.17,-0.11,87.98
2026-01-20T17:56:36.551311,MC_CLIMB,-0.0,-0.03,0.04,-0.14,0.23,88.0
2026-01-20T17:56:36.652545,MC_CLIMB,0.0,-0.08,0.04,0.11,0.62,87.98
2026-01-20T17:56:36.753287,MC_CLIMB,0.01,-0.14,0.03,0.61,0.84,87.91
2026-01-20T17:56:36.854016,MC_CLIMB,0.03,-0.2,0.01,0.97,0.91,87.82
2026-01-20T17:56:36.954696,MC_CLIMB,0.06,-0.28,0.02,1.02,0.85,87.78
2026-01-20T17:56:37.055536,MC_CLIMB,0.08,-0.34,0.04,0.91,0.77,87.79
2026-01-20T17:56:37.156376,MC_CLIMB,0.12,-0.49,0.06,0.69,0.69,87.78
2026-01-20T17:56:37.256571,MC_CLIMB,0.18,-0.59,0.09,0.44,0.59,87.76
2026-01-20T17:56:37.356903,MC_CLIMB,0.24,-0.66,0.09,0.18,0.51,87.76
2026-01-20T17:56:37.457451,MC_CLIMB,0.3,-0.72,0.11,-0.0,0.46,87.79
2026-01-20T17:56:37.557820,MC_CLIMB,0.37,-0.78,0.11,-0.24,0.43,87.8
2026-01-20T17:56:37.658646,MC_CLIMB,0.45,-0.84,0.11,-0.47,0.38,87.83
2026-01-20T17:56:37.759754,MC_CLIMB,0.54,-0.9,0.1,-0.59,0.32,87.83
2026-01-20T17:56:37.860533,MC_CLIMB,0.62,-0.95,0.1,-0.66,0.3,87.8
2026-01-20T17:56:37.961474,MC_CLIMB,0.72,-1.01,0.09,-0.7,0.26,87.8
2026-01-20T17:56:38.061891,MC_CLIMB,0.83,-1.07,0.08,-0.69,0.24,87.78
2026-01-20T17:56:38.162757,MC_CLIMB,0.93,-1.13,0.08,-0.74,0.22,87.73
2026-01-20T17:56:38.263169,MC_CLIMB,1.04,-1.17,0.08,-0.72,0.19,87.73
2026-01-20T17:56:38.363915,MC_CLIMB,1.16,-1.23,0.07,-0.67,0.22,87.67
2026-01-20T17:56:38.464948,MC_CLIMB,1.28,-1.28,0.06,-0.63,0.18,87.67
2026-01-20T17:56:38.565293,MC_CLIMB,1.42,-1.33,0.07,-0.59,0.15,87.67
2026-01-20T17:56:38.665822,MC_CLIMB,1.54,-1.31,0.06,-0.53,0.16,87.7
2026-01-20T17:56:38.766817,MC_CLIMB,1.69,-1.29,0.06,-0.5,0.16,87.67
2026-01-20T17:56:38.867000,MC_CLIMB,1.82,-1.3,0.05,-0.52,0.15,91.03
2026-01-20T17:56:38.967663,MC_CLIMB,1.95,-1.31,0.05,-0.49,0.13,91.01
2026-01-20T17:56:39.068766,MC_CLIMB,2.08,-1.32,0.06,-0.55,0.1,90.92
2026-01-20T17:56:39.169726,MC_CLIMB,2.21,-1.32,0.06,-0.58,0.09,90.79
2026-01-20T17:56:39.269850,MC_CLIMB,2.34,-1.33,0.07,-0.58,0.08,90.72
2026-01-20T17:56:39.371018,MC_CLIMB,2.47,-1.34,0.07,-0.53,0.07,90.66
2026-01-20T17:56:39.472138,MC_CLIMB,2.61,-1.35,0.08,-0.46,0.07,90.7
2026-01-20T17:56:39.572934,MC_CLIMB,2.74,-1.36,0.09,-0.46,0.07,90.8
2026-01-20T17:56:39.674052,MC_CLIMB,2.88,-1.36,0.09,-0.46,0.08,90.88
2026-01-20T17:56:39.774998,MC_CLIMB,3.01,-1.37,0.09,-0.41,0.07,90.97
2026-01-20T17:56:39.875508,MC_CLIMB,3.16,-1.38,0.11,-0.39,0.05,91.04
2026-01-20T17:56:39.976335,MC_CLIMB,3.29,-1.38,0.11,-0.36,0.05,91.08
2026-01-20T17:56:40.077312,MC_CLIMB,3.43,-1.39,0.11,-0.3,0.04,91.09
2026-01-20T17:56:40.177616,MC_CLIMB,3.57,-1.39,0.11,-0.25,0.05,91.06
2026-01-20T17:56:40.278452,MC_CLIMB,3.71,-1.4,0.11,-0.18,0.03,91.01
2026-01-20T17:56:40.379590,MC_CLIMB,3.85,-1.41,0.12,-0.13,0.05,90.99
2026-01-20T17:56:40.480733,MC_CLIMB,3.99,-1.41,0.12,-0.11,0.07,90.96
2026-01-20T17:56:40.581643,MC_CLIMB,4.13,-1.42,0.12,-0.07,0.03,90.93
2026-01-20T17:56:40.682481,MC_CLIMB,4.28,-1.42,0.13,-0.05,0.03,90.93
2026-01-20T17:56:40.783520,MC_CLIMB,4.41,-1.42,0.13,-0.01,0.03,90.94
2026-01-20T17:56:40.884526,MC_CLIMB,4.56,-1.43,0.13,0.02,0.03,90.95
2026-01-20T17:56:40.985629,MC_CLIMB,4.7,-1.43,0.13,0.06,0.03,90.98
2026-01-20T17:56:41.086530,MC_CLIMB,4.88,-1.44,0.12,0.08,0.04,90.96
2026-01-20T17:56:41.186675,MC_CLIMB,5.02,-1.44,0.12,0.13,0.04,90.93
2026-01-20T17:56:41.287471,MC_CLIMB,5.16,-1.44,0.12,0.15,0.02,90.95
2026-01-20T17:56:41.388583,MC_CLIMB,5.31,-1.45,0.12,0.14,-0.01,90.97
2026-01-20T17:56:41.489663,MC_CLIMB,5.45,-1.46,0.12,0.19,0.0,90.93
2026-01-20T17:56:41.590040,MC_CLIMB,5.61,-1.46,0.11,0.21,-0.0,90.91
2026-01-20T17:56:41.690270,MC_CLIMB,5.75,-1.46,0.11,0.19,0.02,90.92
2026-01-20T17:56:41.791141,MC_CLIMB,5.9,-1.46,0.11,0.22,0.02,90.91
2026-01-20T17:56:41.892137,MC_CLIMB,6.04,-1.47,0.11,0.24,0.02,90.89
2026-01-20T17:56:41.992327,MC_CLIMB,6.2,-1.47,0.11,0.23,0.02,90.91
2026-01-20T17:56:42.093184,MC_CLIMB,6.34,-1.47,0.11,0.19,-0.0,90.91
2026-01-20T17:56:42.194249,MC_CLIMB,6.49,-1.47,0.11,0.18,0.0,90.89
2026-01-20T17:56:42.295385,MC_CLIMB,6.64,-1.47,0.11,0.17,0.0,90.89
2026-01-20T17:56:42.396076,MC_CLIMB,6.79,-1.48,0.11,0.12,0.0,90.91
2026-01-20T17:56:42.497009,MC_CLIMB,6.94,-1.48,0.1,0.11,0.0,90.92
