time,altitude,v_down
2025-12-20T23:21:54.752478,44.33,-0.84
2025-12-20T23:21:54.803221,44.38,-0.81
2025-12-20T23:21:54.853767,44.42,-0.53
2025-12-20T23:21:54.904917,44.43,-0.27
2025-12-20T23:21:54.956004,44.44,0.13
2025-12-20T23:21:55.007050,44.43,0.4
2025-12-20T23:21:55.057832,44.39,0.8
2025-12-20T23:21:55.109039,44.35,1.19
2025-12-20T23:21:55.160290,44.27,1.73
2025-12-20T23:21:55.212453,44.19,2.17
2025-12-20T23:21:55.263925,44.05,2.82
2025-12-20T23:21:55.315389,43.85,3.47
2025-12-20T23:21:55.367559,43.72,3.79
2025-12-20T23:21:55.418113,43.51,4.15
2025-12-20T23:21:55.469304,43.32,4.42
2025-12-20T23:21:55.520221,43.08,4.72
2025-12-20T23:21:55.572126,42.9,4.93
2025-12-20T23:21:55.622984,42.65,5.24
2025-12-20T23:21:55.673938,42.32,5.68
2025-12-20T23:21:55.725005,42.1,6.03
2025-12-20T23:21:55.776034,41.77,6.64
2025-12-20T23:21:55.827083,41.51,7.09
2025-12-20T23:21:55.878002,41.06,7.63
2025-12-20T23:21:55.929081,40.76,7.74
2025-12-20T23:21:55.979892,40.3,7.65
2025-12-20T23:21:56.032251,40.08,7.57
2025-12-20T23:21:56.083285,39.62,7.43
2025-12-20T23:21:56.134166,39.17,7.34
2025-12-20T23:21:56.185055,38.95,7.3
2025-12-20T23:21:56.236495,38.5,7.25
2025-12-20T23:21:56.287908,38.22,7.23
2025-12-20T23:21:56.338768,37.82,7.21
2025-12-20T23:21:56.389573,37.54,7.21
2025-12-20T23:21:56.440576,37.08,7.24
2025-12-20T23:21:56.492964,36.79,7.26
2025-12-20T23:21:56.543523,36.39,7.28
2025-12-20T23:21:56.594592,35.93,7.31
2025-12-20T23:21:56.645806,35.64,7.33
2025-12-20T23:21:56.696815,35.23,7.36
2025-12-20T23:21:56.747612,34.94,7.39
2025-12-20T23:21:56.798716,34.47,7.43
2025-12-20T23:21:56.849601,34.17,7.47
2025-12-20T23:21:56.900867,33.69,7.54
2025-12-20T23:21:56.952778,33.39,7.58
2025-12-20T23:21:57.003859,32.97,7.63
2025-12-20T23:21:57.054757,32.54,7.66
2025-12-20T23:21:57.105871,32.24,7.67
2025-12-20T23:21:57.156768,31.75,7.66
2025-12-20T23:21:57.208086,31.44,7.63
2025-12-20T23:21:57.258845,31.02,7.58
2025-12-20T23:21:57.310276,30.72,7.54
2025-12-20T23:21:57.361095,30.24,7.52
2025-12-20T23:21:57.413434,29.94,7.52
2025-12-20T23:21:57.464314,29.51,7.54
2025-12-20T23:21:57.515039,29.03,7.56
2025-12-20T23:21:57.565952,28.73,7.58
2025-12-20T23:21:57.617317,28.24,7.59
2025-12-20T23:21:57.668482,27.93,7.59
2025-12-20T23:21:57.719330,27.51,7.6
2025-12-20T23:21:57.770189,27.2,7.6
2025-12-20T23:21:57.820884,26.77,7.61
2025-12-20T23:21:57.873238,26.4,7.61
2025-12-20T23:21:57.924242,25.98,7.61
2025-12-20T23:21:57.974944,25.55,7.62
2025-12-20T23:21:58.026246,25.24,7.62
2025-12-20T23:21:58.076975,24.75,7.63
2025-12-20T23:21:58.128297,24.44,7.63
2025-12-20T23:21:58.179158,24.01,7.64
2025-12-20T23:21:58.230126,23.7,7.64
2025-12-20T23:21:58.281186,23.21,7.65
2025-12-20T23:21:58.333646,22.9,7.65
2025-12-20T23:21:58.385044,22.47,7.66
2025-12-20T23:21:58.435978,21.97,7.66
2025-12-20T23:21:58.488135,21.67,7.67
2025-12-20T23:21:58.539041,21.23,7.68
2025-12-20T23:21:58.590303,20.92,7.68
2025-12-20T23:21:58.640901,20.43,7.69
2025-12-20T23:21:58.692861,20.12,7.69
2025-12-20T23:21:58.743902,19.69,7.7
2025-12-20T23:21:58.795107,19.19,7.7
2025-12-20T23:21:58.846342,18.88,7.71
2025-12-20T23:21:58.897276,18.45,7.71
2025-12-20T23:21:58.948530,18.13,7.71
2025-12-20T23:21:58.999739,17.64,7.72
2025-12-20T23:21:59.051486,17.33,7.72
2025-12-20T23:21:59.102298,16.83,7.73
2025-12-20T23:21:59.153508,16.58,7.74
2025-12-20T23:21:59.205130,16.08,7.74
2025-12-20T23:21:59.255742,15.64,7.75
2025-12-20T23:21:59.307120,15.27,7.76
2025-12-20T23:21:59.358410,14.83,7.77
2025-12-20T23:21:59.409906,14.52,7.77
2025-12-20T23:21:59.460820,14.08,7.78
2025-12-20T23:21:59.511772,13.77,7.79
2025-12-20T23:21:59.562733,13.26,7.8
2025-12-20T23:21:59.614033,12.95,7.81
2025-12-20T23:21:59.665300,12.51,7.82
2025-12-20T23:21:59.715976,12.01,7.82
2025-12-20T23:21:59.766989,11.69,7.82
2025-12-20T23:21:59.817963,11.25,7.84
2025-12-20T23:21:59.869314,10.87,7.84
2025-12-20T23:21:59.920560,10.43,7.84
2025-12-20T23:21:59.972180,10.12,7.84
2025-12-20T23:22:00.023119,9.67,7.84
2025-12-20T23:22:00.074202,9.3,7.83
2025-12-20T23:22:00.125009,8.86,7.82
2025-12-20T23:22:00.176131,8.41,7.83
2025-12-20T23:22:00.227190,8.1,7.83
2025-12-20T23:22:00.277854,7.6,7.83
2025-12-20T23:22:00.329152,7.28,7.84
2025-12-20T23:22:00.380012,6.78,7.84
2025-12-20T23:22:00.431064,6.46,7.84
2025-12-20T23:22:00.482181,6.02,7.84
2025-12-20T23:22:00.534681,5.7,7.85
2025-12-20T23:22:00.586060,5.26,7.85
2025-12-20T23:22:00.636746,4.76,7.85
2025-12-20T23:22:00.687545,4.44,7.85
2025-12-20T23:22:00.738833,3.93,7.86
