time,altitude_m,v_down_m_s
2025-12-20T21:15:01.387473,41.9,-0.91
2025-12-20T21:15:01.439025,41.96,-0.9
2025-12-20T21:15:01.490643,41.99,-0.74
2025-12-20T21:15:01.542285,42.02,-0.29
2025-12-20T21:15:01.593099,42.03,0.12
2025-12-20T21:15:01.645356,42.02,0.41
2025-12-20T21:15:01.696156,41.98,0.88
2025-12-20T21:15:01.747318,41.94,1.17
2025-12-20T21:15:01.798020,41.85,1.63
2025-12-20T21:15:01.850521,41.79,1.92
2025-12-20T21:15:01.901583,41.67,2.33
2025-12-20T21:15:01.952359,41.52,2.82
2025-12-20T21:15:02.003547,41.41,3.13
2025-12-20T21:15:02.054356,41.22,3.6
2025-12-20T21:15:02.105341,41.08,3.94
2025-12-20T21:15:02.156599,40.85,4.45
2025-12-20T21:15:02.207624,40.66,4.81
2025-12-20T21:15:02.258363,40.34,5.39
2025-12-20T21:15:02.310849,40.13,5.74
2025-12-20T21:15:02.361747,39.76,6.29
2025-12-20T21:15:02.412711,39.4,6.76
2025-12-20T21:15:02.463754,39.13,7.07
2025-12-20T21:15:02.514571,38.75,7.45
2025-12-20T21:15:02.565536,38.4,7.77
2025-12-20T21:15:02.616877,37.97,8.04
2025-12-20T21:15:02.667906,37.65,8.14
2025-12-20T21:15:02.719426,37.22,8.14
2025-12-20T21:15:02.770881,36.85,8.08
2025-12-20T21:15:02.821785,36.41,8.0
2025-12-20T21:15:02.873038,35.98,7.91
2025-12-20T21:15:02.926008,35.68,7.85
2025-12-20T21:15:02.976819,35.19,7.77
2025-12-20T21:15:03.027786,34.89,7.74
2025-12-20T21:15:03.078785,34.41,7.73
2025-12-20T21:15:03.131296,34.16,7.73
2025-12-20T21:15:03.182467,33.68,7.76
2025-12-20T21:15:03.233724,33.25,7.78
2025-12-20T21:15:03.286406,32.94,7.79
2025-12-20T21:15:03.337622,32.45,7.8
2025-12-20T21:15:03.388738,32.14,7.81
2025-12-20T21:15:03.439835,31.71,7.82
2025-12-20T21:15:03.491349,31.4,7.82
2025-12-20T21:15:03.542126,30.9,7.83
2025-12-20T21:15:03.592992,30.46,7.84
2025-12-20T21:15:03.644018,30.09,7.84
2025-12-20T21:15:03.695115,29.66,7.85
2025-12-20T21:15:03.745999,29.34,7.85
2025-12-20T21:15:03.797300,28.91,7.85
2025-12-20T21:15:03.848883,28.6,7.86
2025-12-20T21:15:03.900199,28.1,7.86
2025-12-20T21:15:03.951180,27.79,7.87
2025-12-20T21:15:04.002177,27.35,7.87
2025-12-20T21:15:04.053177,26.85,7.87
2025-12-20T21:15:04.104033,26.54,7.88
2025-12-20T21:15:04.155244,26.1,7.88
2025-12-20T21:15:04.206579,25.79,7.89
2025-12-20T21:15:04.258081,25.29,7.9
2025-12-20T21:15:04.309447,24.98,7.9
2025-12-20T21:15:04.360269,24.54,7.9
2025-12-20T21:15:04.411864,24.22,7.9
2025-12-20T21:15:04.462708,23.72,7.9
2025-12-20T21:15:04.513498,23.28,7.91
2025-12-20T21:15:04.564458,22.97,7.91
2025-12-20T21:15:04.615404,22.47,7.92
2025-12-20T21:15:04.666447,22.15,7.92
2025-12-20T21:15:04.717395,21.71,7.92
2025-12-20T21:15:04.768356,21.39,7.92
2025-12-20T21:15:04.819542,20.89,7.93
2025-12-20T21:15:04.871476,20.57,7.93
2025-12-20T21:15:04.922502,20.13,7.92
2025-12-20T21:15:04.973326,19.62,7.92
2025-12-20T21:15:05.024364,19.31,7.92
2025-12-20T21:15:05.075819,18.87,7.93
2025-12-20T21:15:05.126430,18.55,7.93
2025-12-20T21:15:05.177768,18.05,7.93
2025-12-20T21:15:05.228310,17.73,7.93
2025-12-20T21:15:05.279529,17.29,7.93
2025-12-20T21:15:05.331538,16.97,7.93
2025-12-20T21:15:05.382913,16.47,7.93
2025-12-20T21:15:05.433791,16.02,7.93
2025-12-20T21:15:05.484893,15.71,7.93
2025-12-20T21:15:05.535658,15.2,7.93
2025-12-20T21:15:05.586862,14.89,7.94
2025-12-20T21:15:05.637711,14.44,7.94
2025-12-20T21:15:05.688785,14.13,7.94
2025-12-20T21:15:05.739710,13.62,7.94
2025-12-20T21:15:05.791798,13.3,7.94
2025-12-20T21:15:05.843033,12.86,7.94
2025-12-20T21:15:05.894027,12.35,7.94
2025-12-20T21:15:05.944980,12.03,7.94
2025-12-20T21:15:05.995913,11.59,7.94
2025-12-20T21:15:06.047011,11.27,7.94
2025-12-20T21:15:06.097796,10.77,7.95
2025-12-20T21:15:06.148950,10.45,7.95
2025-12-20T21:15:06.199930,10.0,7.94
2025-12-20T21:15:06.252420,9.68,7.94
2025-12-20T21:15:06.304097,9.18,7.94
2025-12-20T21:15:06.354910,8.73,7.94
2025-12-20T21:15:06.407268,8.41,7.94
2025-12-20T21:15:06.458240,7.9,7.94
2025-12-20T21:15:06.509255,7.59,7.94
2025-12-20T21:15:06.560599,7.14,7.94
2025-12-20T21:15:06.612704,6.76,7.94
2025-12-20T21:15:06.663585,6.31,7.94
2025-12-20T21:15:06.714916,5.8,7.94
2025-12-20T21:15:06.767812,5.55,7.94
2025-12-20T21:15:06.819254,5.04,7.93
2025-12-20T21:15:06.870355,4.72,7.93
2025-12-20T21:15:06.921749,4.28,7.93
2025-12-20T21:15:06.972620,3.96,7.93
