timestamp,phase,altitude_m,vertical_speed_m_s,horizontal_speed_m_s,roll_deg,pitch_deg,yaw_deg,hover_time_s,target_distance_m
2026-01-10T16:40:25.793757,ASCENT,9.1,-0.87,0.04,0.02,0.01,90.63,0.0,0.0
2026-01-10T16:40:25.844206,ASCENT,9.15,-0.84,0.04,0.0,0.02,90.62,0.0,0.0
2026-01-10T16:40:25.894606,ASCENT,9.19,-0.82,0.04,-0.02,0.09,90.61,0.0,0.0
2026-01-10T16:40:25.945246,ASCENT,9.25,-1.62,0.02,-0.12,0.93,89.59,0.0,0.0
2026-01-10T16:40:25.996405,ASCENT,9.33,-2.29,0.0,-0.37,2.24,86.4,0.0,0.0
2026-01-10T16:40:26.047375,ASCENT,9.51,-3.23,0.04,-0.74,2.58,82.12,0.0,0.0
2026-01-10T16:40:26.098078,ASCENT,9.71,-4.02,0.1,-0.59,2.29,76.99,0.0,0.0
2026-01-10T16:40:26.148291,ASCENT,9.88,-4.5,0.13,-0.24,1.63,70.49,0.0,0.0
2026-01-10T16:40:26.199197,ASCENT,10.19,-5.04,0.15,0.44,0.91,63.04,0.0,0.0
2026-01-10T16:40:26.249701,ASCENT,10.4,-5.38,0.14,1.6,0.13,52.84,0.0,0.0
2026-01-10T16:40:26.299854,ASCENT,10.69,-5.7,0.1,2.48,-1.15,44.34,0.0,0.0
2026-01-10T16:40:26.351026,ASCENT,10.91,-5.8,0.07,2.95,-2.33,37.05,0.0,0.0
2026-01-10T16:40:26.401711,ASCENT,11.27,-5.88,0.05,2.7,-2.79,32.74,0.0,0.0
2026-01-10T16:40:26.452756,ASCENT,11.5,-5.9,0.07,1.43,-2.77,28.82,0.0,0.0
2026-01-10T16:40:26.503557,ASCENT,11.82,-5.92,0.1,0.43,-2.4,27.31,0.0,0.0
2026-01-10T16:40:26.554092,ASCENT,12.05,-5.93,0.11,-1.22,-1.39,24.95,0.0,0.0
2026-01-10T16:40:26.604392,ASCENT,12.42,-5.95,0.1,-2.07,-0.57,23.21,0.0,0.0
2026-01-10T16:40:26.654964,ASCENT,12.65,-5.96,0.09,-2.68,0.59,20.15,0.0,0.0
2026-01-10T16:40:26.705981,ASCENT,13.02,-5.97,0.05,-2.41,1.4,17.09,0.0,0.0
2026-01-10T16:40:26.757007,ASCENT,13.21,-5.97,0.04,-1.7,1.67,14.77,0.0,0.0
2026-01-10T16:40:26.807743,ASCENT,13.59,-5.97,0.04,-0.39,1.61,12.24,0.0,0.0
2026-01-10T16:40:26.858697,ASCENT,13.91,-5.97,0.04,0.77,1.22,10.5,0.0,0.0
2026-01-10T16:40:26.909401,ASCENT,14.14,-5.97,0.03,1.71,0.66,9.16,0.0,0.0
2026-01-10T16:40:26.960425,ASCENT,14.52,-5.97,0.02,2.22,0.02,8.12,0.0,0.0
2026-01-10T16:40:27.011229,ASCENT,14.75,-5.98,0.03,2.16,-0.53,7.35,0.0,0.0
2026-01-10T16:40:27.062423,ASCENT,15.08,-5.98,0.05,1.51,-0.93,6.59,0.0,0.0
2026-01-10T16:40:27.113001,ASCENT,15.31,-5.99,0.06,0.6,-1.0,5.9,0.0,0.0
2026-01-10T16:40:27.163203,ASCENT,15.69,-5.99,0.06,-0.4,-0.82,5.16,0.0,0.0
2026-01-10T16:40:27.214056,ASCENT,15.93,-5.99,0.05,-1.37,-0.36,4.19,0.0,0.0
2026-01-10T16:40:27.264278,ASCENT,16.3,-6.0,0.03,-1.71,-0.02,3.54,0.0,0.0
2026-01-10T16:40:27.315291,ASCENT,16.49,-6.0,0.02,-1.66,0.48,2.64,0.0,0.0
2026-01-10T16:40:27.366384,ASCENT,16.87,-6.0,0.02,-1.12,0.7,2.08,0.0,0.0
2026-01-10T16:40:27.417389,ASCENT,17.11,-6.0,0.03,-0.31,0.75,1.66,0.0,0.0
2026-01-10T16:40:27.467579,ASCENT,17.48,-6.0,0.03,0.55,0.66,1.37,0.0,0.0
2026-01-10T16:40:27.518601,ASCENT,17.82,-6.01,0.02,1.19,0.46,1.16,0.0,0.0
2026-01-10T16:40:27.569365,ASCENT,18.05,-6.01,0.0,1.51,0.19,1.0,0.0,0.0
2026-01-10T16:40:27.619482,ASCENT,18.39,-6.01,0.01,1.51,-0.04,0.86,0.0,0.0
2026-01-10T16:40:27.670185,ASCENT,18.67,-6.01,0.03,1.09,-0.22,0.73,0.0,0.0
2026-01-10T16:40:27.720988,ASCENT,19.0,-6.01,0.04,0.39,-0.28,0.56,0.0,0.0
2026-01-10T16:40:27.771606,ASCENT,19.24,-6.01,0.04,-0.34,-0.23,0.37,0.0,0.0
2026-01-10T16:40:27.822581,ASCENT,19.58,-6.02,0.03,-0.87,-0.14,0.19,0.0,0.0
2026-01-10T16:40:27.873662,ASCENT,19.82,-6.01,0.02,-1.17,0.01,0.02,0.0,0.0
2026-01-10T16:40:27.924066,ASCENT,20.2,-6.01,0.0,-1.16,0.15,-0.15,0.0,0.0
2026-01-10T16:40:27.975021,ASCENT,20.44,-6.02,0.0,-0.8,0.26,-0.33,0.0,0.0
2026-01-10T16:40:28.026056,ASCENT,20.78,-6.02,0.01,-0.29,0.29,-0.41,0.0,0.0
2026-01-10T16:40:28.076394,ASCENT,21.01,-6.02,0.01,0.16,0.28,-0.44,0.0,0.0
2026-01-10T16:40:28.128190,ASCENT,21.4,-6.01,0.01,0.44,0.23,-0.45,0.0,0.0
2026-01-10T16:40:28.178973,ASCENT,21.78,-6.01,0.0,0.71,0.1,-0.44,0.0,0.0
2026-01-10T16:40:28.230119,ASCENT,21.97,-6.01,0.0,0.69,0.01,-0.45,0.0,0.0
2026-01-10T16:40:28.280903,ASCENT,22.36,-6.01,0.01,0.47,-0.07,-0.47,0.0,0.0
2026-01-10T16:40:28.331664,ASCENT,22.6,-6.01,0.01,0.16,-0.05,-0.52,0.0,0.0
2026-01-10T16:40:28.381965,ASCENT,22.98,-6.01,0.01,-0.2,-0.04,-0.56,0.0,0.0
2026-01-10T16:40:28.433020,ASCENT,23.17,-6.01,0.01,-0.44,0.01,-0.62,0.0,0.0
2026-01-10T16:40:28.483490,ASCENT,23.55,-6.01,0.0,-0.61,0.11,-0.66,0.0,0.0
2026-01-10T16:40:28.534339,ASCENT,23.79,-6.01,0.0,-0.59,0.21,-0.69,0.0,0.0
