time,altitude_m,v_down_m_s
2025-12-19T18:10:40.200852,41.88,-0.91
2025-12-19T18:10:40.253133,41.92,-0.9
2025-12-19T18:10:40.304913,41.97,-0.64
2025-12-19T18:10:40.356342,41.99,-0.17
2025-12-19T18:10:40.408541,41.99,0.11
2025-12-19T18:10:40.459939,41.98,0.52
2025-12-19T18:10:40.511151,41.95,0.81
2025-12-19T18:10:40.562189,41.89,1.28
2025-12-19T18:10:40.613587,41.83,1.56
2025-12-19T18:10:40.664438,41.73,2.03
2025-12-19T18:10:40.715237,41.6,2.44
2025-12-19T18:10:40.766215,41.51,2.75
2025-12-19T18:10:40.817225,41.35,3.19
2025-12-19T18:10:40.868673,41.22,3.52
2025-12-19T18:10:40.920358,40.99,4.08
2025-12-19T18:10:40.971423,40.83,4.43
2025-12-19T18:10:41.022463,40.57,4.94
2025-12-19T18:10:41.073670,40.33,5.38
2025-12-19T18:10:41.124989,40.02,5.87
2025-12-19T18:10:41.175957,39.69,6.36
2025-12-19T18:10:41.228135,39.38,6.76
2025-12-19T18:10:41.279438,39.01,7.17
2025-12-19T18:10:41.330399,38.73,7.44
2025-12-19T18:10:41.381503,38.31,7.81
2025-12-19T18:10:41.433351,38.0,8.01
2025-12-19T18:10:41.484808,37.51,8.14
2025-12-19T18:10:41.535555,37.01,8.11
2025-12-19T18:10:41.586847,36.76,8.07
2025-12-19T18:10:41.638228,36.26,7.96
2025-12-19T18:10:41.689027,35.96,7.9
2025-12-19T18:10:41.739609,35.53,7.82
2025-12-19T18:10:41.790794,35.23,7.78
2025-12-19T18:10:41.841610,34.75,7.73
2025-12-19T18:10:41.893818,34.45,7.72
2025-12-19T18:10:41.944741,34.02,7.73
2025-12-19T18:10:41.995548,33.54,7.76
2025-12-19T18:10:42.046614,33.23,7.78
2025-12-19T18:10:42.097472,32.8,7.79
2025-12-19T18:10:42.148551,32.49,7.8
2025-12-19T18:10:42.199460,32.0,7.81
2025-12-19T18:10:42.250543,31.69,7.81
2025-12-19T18:10:42.302272,31.26,7.82
2025-12-19T18:10:42.354201,30.94,7.83
2025-12-19T18:10:42.405079,30.44,7.84
2025-12-19T18:10:42.455629,30.01,7.84
2025-12-19T18:10:42.506971,29.64,7.84
2025-12-19T18:10:42.558023,29.2,7.85
2025-12-19T18:10:42.609530,28.89,7.86
2025-12-19T18:10:42.661001,28.46,7.86
2025-12-19T18:10:42.712151,28.15,7.87
2025-12-19T18:10:42.762849,27.65,7.87
2025-12-19T18:10:42.813967,27.34,7.88
2025-12-19T18:10:42.865044,26.9,7.88
2025-12-19T18:10:42.915767,26.4,7.89
2025-12-19T18:10:42.967142,26.09,7.89
2025-12-19T18:10:43.018119,25.65,7.89
2025-12-19T18:10:43.069219,25.34,7.9
2025-12-19T18:10:43.120906,24.84,7.91
2025-12-19T18:10:43.172055,24.53,7.91
2025-12-19T18:10:43.223106,24.09,7.91
2025-12-19T18:10:43.274109,23.77,7.92
2025-12-19T18:10:43.325780,23.27,7.92
2025-12-19T18:10:43.377017,22.83,7.93
2025-12-19T18:10:43.428954,22.52,7.93
2025-12-19T18:10:43.479894,22.01,7.93
2025-12-19T18:10:43.531069,21.7,7.94
2025-12-19T18:10:43.581826,21.26,7.94
2025-12-19T18:10:43.633863,20.94,7.94
2025-12-19T18:10:43.685052,20.44,7.94
2025-12-19T18:10:43.735846,19.99,7.94
2025-12-19T18:10:43.787210,19.68,7.94
2025-12-19T18:10:43.838223,19.17,7.94
2025-12-19T18:10:43.889231,18.85,7.94
2025-12-19T18:10:43.940789,18.34,7.94
2025-12-19T18:10:43.991690,18.03,7.94
2025-12-19T18:10:44.043572,17.58,7.94
2025-12-19T18:10:44.094503,17.26,7.94
2025-12-19T18:10:44.145567,16.76,7.94
2025-12-19T18:10:44.196639,16.31,7.94
2025-12-19T18:10:44.247770,16.0,7.94
2025-12-19T18:10:44.299365,15.55,7.94
2025-12-19T18:10:44.350596,15.23,7.94
2025-12-19T18:10:44.401945,14.73,7.94
2025-12-19T18:10:44.452838,14.41,7.93
2025-12-19T18:10:44.504273,13.96,7.93
2025-12-19T18:10:44.555126,13.65,7.93
2025-12-19T18:10:44.606170,13.14,7.93
2025-12-19T18:10:44.657751,12.69,7.93
2025-12-19T18:10:44.710247,12.38,7.93
2025-12-19T18:10:44.761821,11.87,7.93
2025-12-19T18:10:44.813110,11.55,7.93
2025-12-19T18:10:44.864214,11.11,7.93
2025-12-19T18:10:44.915339,10.73,7.93
2025-12-19T18:10:44.966230,10.28,7.93
2025-12-19T18:10:45.017066,9.84,7.93
2025-12-19T18:10:45.068146,9.52,7.93
2025-12-19T18:10:45.119120,9.01,7.93
2025-12-19T18:10:45.170137,8.69,7.93
2025-12-19T18:10:45.221233,8.25,7.93
2025-12-19T18:10:45.272128,7.93,7.92
2025-12-19T18:10:45.323111,7.42,7.93
2025-12-19T18:10:45.375130,7.11,7.93
2025-12-19T18:10:45.426865,6.66,7.92
2025-12-19T18:10:45.477624,6.15,7.92
2025-12-19T18:10:45.529962,5.83,7.92
2025-12-19T18:10:45.580922,5.39,7.93
2025-12-19T18:10:45.631782,5.07,7.93
2025-12-19T18:10:45.682570,4.56,7.93
2025-12-19T18:10:45.734937,4.24,7.93
2025-12-19T18:10:45.786259,3.8,7.92
